Name, x_coord, y_coord
"Sharp Hall","42.72711006590162","-73.67448712656643"
"Union","42.730159761978896","-73.67663391678252"
"Quad","42.730706041764584","-73.67756264747236"
"DCC","42.72934781129576","-73.67895862471251"
"Vorhees Computing Center","42.72931448709032","-73.68164350143745"
"Amos Eaton Hall","42.730287323346445","-73.68258918979996"
"Mueller Center","42.72891902003062","-73.67684441122128"
"JEC","42.729847677153444","-73.68020218979997"
"Sage Labs","42.73097906477598","-73.68164141863616"
"JROWL","42.72900301770575","-73.68045377630875"
"Pittsburgh Building","42.73125174093247","-73.68330210329108"
"Warren Hall","42.72809422047715","-73.67536297260132"
"Greene Building","42.73022009495838","-73.68115317445492"
"Davison Hall","42.72731130298223","-73.67414636096385"
"Pub Safe","42.72930295751444","-73.67676008238502"
"North Hall","42.73142413669011","-73.67987080514486"
"West Hall","42.731807801585866","-73.68320404747236"
"Folsom Library","42.72954131606436","-73.68250278794625"